group,country,number,position,name,name_zh,age,date_of_birth,caps,goals,club,captain,image,image_source,profile
A,South Africa,8,FW,Tshepang Moremi,南非8号前锋,25,,9,1,Orlando Pirates,False,https://images.fotmob.com/image_resources/playerimages/1289611.png,fotmob,https://www.fotmob.com/players/1289611
A,South Africa,9,FW,Lyle Foster,南非9号前锋,25,,26,10,Burnley,False,https://images.fotmob.com/image_resources/playerimages/881500.png,fotmob,https://www.fotmob.com/players/881500
A,South Africa,10,FW,Relebohile Mofokeng,南非10号前锋,21,,12,0,Orlando Pirates,False,https://images.fotmob.com/image_resources/playerimages/1471333.png,fotmob,https://www.fotmob.com/players/1471333
A,South Africa,11,MF,Themba Zwane,南非11号中场,36,,53,12,Mamelodi Sundowns,False,https://images.fotmob.com/image_resources/playerimages/303609.png,fotmob,https://www.fotmob.com/players/303609
A,South Africa,12,FW,Thapelo Maseko,南非12号前锋,22,,9,1,AEL Limassol,False,https://images.fotmob.com/image_resources/playerimages/1394951.png,fotmob,https://www.fotmob.com/players/1394951
A,South Africa,13,MF,Sphephelo Sithole,南非13号中场,27,,27,1,Tondela,False,https://images.fotmob.com/image_resources/playerimages/1107735.png,fotmob,https://www.fotmob.com/players/1107735
A,South Africa,14,DF,Mbekezeli Mbokazi,南非14号后卫,20,,10,1,Chicago Fire FC,False,https://images.fotmob.com/image_resources/playerimages/1719066.png,fotmob,https://www.fotmob.com/players/1719066
A,South Africa,15,FW,Iqraam Rayners,南非15号前锋,30,,13,4,Mamelodi Sundowns,False,https://images.fotmob.com/image_resources/playerimages/1076668.png,fotmob,https://www.fotmob.com/players/1076668
A,South Africa,16,GK,Sipho Chaine,南非16号门将,29,,3,0,Orlando Pirates,False,https://images.fotmob.com/image_resources/playerimages/787099.png,fotmob,https://www.fotmob.com/players/787099
A,South Africa,17,FW,Evidence Makgopa,南非17号前锋,26,,26,6,Orlando Pirates,False,https://images.fotmob.com/image_resources/playerimages/1137059.png,fotmob,https://www.fotmob.com/players/1137059
A,South Africa,18,DF,Samukele Kabini,南非18号后卫,22,,5,0,Molde,False,https://images.fotmob.com/image_resources/playerimages/1680659.png,fotmob,https://www.fotmob.com/players/1680659
A,South Africa,19,DF,Nkosinathi Sibisi,南非19号后卫,30,,19,0,Orlando Pirates,False,https://images.fotmob.com/image_resources/playerimages/716819.png,fotmob,https://www.fotmob.com/players/716819
A,South Africa,20,DF,Khuliso Mudau,南非20号后卫,31,,32,1,Mamelodi Sundowns,False,https://images.fotmob.com/image_resources/playerimages/940010.png,fotmob,https://www.fotmob.com/players/940010
A,South Africa,21,DF,Ime Okon,南非21号后卫,22,,7,1,Hannover 96,False,https://images.fotmob.com/image_resources/playerimages/1600334.png,fotmob,https://www.fotmob.com/players/1600334
A,South Africa,22,GK,Ricardo Goss,南非22号门将,32,,4,0,Siwelele,False,https://images.fotmob.com/image_resources/playerimages/428006.png,fotmob,https://www.fotmob.com/players/428006
A,South Africa,23,MF,Jayden Adams,南非23号中场,25,,4,0,Mamelodi Sundowns,False,https://images.fotmob.com/image_resources/playerimages/1178629.png,fotmob,https://www.fotmob.com/players/1178629
A,South Africa,24,DF,Olwethu Makhanya,南非24号后卫,22,,0,0,Philadelphia Union,False,https://images.fotmob.com/image_resources/playerimages/1469826.png,fotmob,https://www.fotmob.com/players/1469826
A,South Africa,25,FW,Kamogelo Sebelebele,南非25号前锋,23,,2,0,Orlando Pirates,False,https://images.fotmob.com/image_resources/playerimages/1451566.png,fotmob,https://www.fotmob.com/players/1451566
A,South Africa,26,DF,Bradley Cross,南非26号后卫,25,,0,0,Kaizer Chiefs,False,https://images.fotmob.com/image_resources/playerimages/1202481.png,fotmob,https://www.fotmob.com/players/1202481
A,South Korea,1,GK,Kim Seung-gyu,韩国1号门将,35,,87,0,FC Tokyo,False,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Seung-Gyu.jpg,wikidata,
A,South Korea,2,DF,Lee Han-beom,韩国2号后卫,23,,8,0,Midtjylland,False,https://commons.wikimedia.org/wiki/Special:FilePath/230422%20FC%20%EC%84%9C%EC%9A%B8%20vs%20%EC%88%98%EC%9B%90%20%EC%82%BC%EC%84%B1%20%EB%B8%94%EB%A3%A8%EC%9C%99%EC%A6%88%20%28%EC%9D%B4%ED%95%9C%EB%B2%94%29.jpg,wikidata,
A,South Korea,3,MF,Lee Gi-hyuk,韩国3号中场,25,,3,0,Gangwon FC,False,https://images.fotmob.com/image_resources/playerimages/1232264.png,fotmob,https://www.fotmob.com/players/1232264
A,South Korea,4,DF,Kim Min-jae,韩国4号后卫,29,,79,4,Bayern Munich,False,https://images.fotmob.com/image_resources/playerimages/1861850.png,fotmob,https://www.fotmob.com/players/1861850
A,South Korea,5,DF,Kim Tae-hyeon,韩国5号后卫,25,,7,0,Kashima Antlers,False,https://images.fotmob.com/image_resources/playerimages/1437933.png,fotmob,https://www.fotmob.com/players/1437933
A,South Korea,6,MF,Hwang In-beom,韩国6号中场,29,,73,6,Feyenoord,False,https://commons.wikimedia.org/wiki/Special:FilePath/240611%20%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%20vs%20%EC%A4%91%EA%B5%AD%20%28%ED%99%A9%EC%9D%B8%EB%B2%94%29.jpg,wikidata,
A,South Korea,7,FW,Son Heung-min,韩国7号前锋,33,,144,56,Los Angeles FC,True,https://commons.wikimedia.org/wiki/Special:FilePath/BFA%202023%20-2%20Heung-Min%20Son%20%28cropped%29.jpg,wikidata,
A,South Korea,8,MF,Paik Seung-ho,韩国8号中场,29,,27,3,Birmingham City,False,https://commons.wikimedia.org/wiki/Special:FilePath/190608%20%EC%98%A4%ED%94%88%20%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8B%9D%20%EB%8D%B0%EC%9D%B4%20%EB%B0%B1%EC%8A%B9%ED%98%B8%201.jpg,wikidata,
A,South Korea,9,FW,Cho Gue-sung,韩国9号前锋,28,,44,12,Midtjylland,False,https://commons.wikimedia.org/wiki/Special:FilePath/191130%20%EB%B6%80%EC%82%B0%EC%95%84%EC%9D%B4%ED%8C%8C%ED%81%AC%20VS%20FC%EC%95%88%EC%96%91%20%ED%94%8C%EB%A0%88%EC%9D%B4%EC%98%A4%ED%94%84%2C%20%EC%A1%B0%EA%B7%9C%EC%84%B1%202.jpg,wikidata,
A,South Korea,10,MF,Lee Jae-sung,韩国10号中场,33,,105,15,Mainz 05,False,https://images.fotmob.com/image_resources/playerimages/253831.png,fotmob,https://www.fotmob.com/players/253831
A,South Korea,11,MF,Hwang Hee-chan,韩国11号中场,30,,79,17,Wolverhampton Wanderers,False,https://commons.wikimedia.org/wiki/Special:FilePath/240622%20%ED%99%A9%ED%9D%AC%EC%B0%AC%20%ED%92%8B%EB%B3%BC%20%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C.jpg,wikidata,
A,South Korea,12,GK,Song Bum-keun,韩国12号门将,28,,3,0,Jeonbuk Hyundai Motors,False,https://images.fotmob.com/image_resources/playerimages/848068.png,fotmob,https://www.fotmob.com/players/848068
A,South Korea,13,DF,Lee Tae-seok,韩国13号后卫,23,,15,1,Austria Wien,False,https://commons.wikimedia.org/wiki/Special:FilePath/%EB%B0%80%EC%9B%8C%ED%82%A4%20%EC%9D%B4%EB%8B%AC%EC%9D%98%20%EC%84%A0%EC%88%98%205%EC%9B%94%20-%20%EC%9D%B4%ED%83%9C%EC%84%9D%20%EC%9D%B8%ED%84%B0%EB%B7%B0%20%26%20%EC%A0%9C%ED%92%88%20%EC%96%B8%EB%B0%95%EC%8B%B1%EA%B9%8C%EC%A7%80%21%200s.jpg,wikidata,
A,South Korea,14,DF,Cho Wi-je,韩国14号后卫,24,,1,0,Jeonbuk Hyundai Motors,False,https://images.fotmob.com/image_resources/playerimages/1326507.png,fotmob,https://www.fotmob.com/players/1326507
A,South Korea,15,DF,Kim Moon-hwan,韩国15号后卫,30,,35,0,Daejeon Hana Citizen,False,https://images.fotmob.com/image_resources/playerimages/828273.png,fotmob,https://www.fotmob.com/players/828273
A,South Korea,16,DF,Park Jin-seob,韩国16号后卫,30,,14,1,Zhejiang,False,https://commons.wikimedia.org/wiki/Special:FilePath/250702%20FC%20%EC%84%9C%EC%9A%B8%20vs%20%EC%A0%84%EB%B6%81%20%28%EB%B0%95%EC%A7%84%EC%84%AD%29.jpg,wikidata,
A,South Korea,17,MF,Bae Jun-ho,韩国17号中场,22,,13,2,Stoke City,False,https://commons.wikimedia.org/wiki/Special:FilePath/Bae%20Jun-ho%2020092025%20%282%29.jpg,wikidata,
A,South Korea,18,FW,Oh Hyeon-gyu,韩国18号前锋,25,,27,6,Beşiktaş,False,https://commons.wikimedia.org/wiki/Special:FilePath/%EC%98%A4%ED%98%84%EA%B7%9C%202022%EB%85%84%20%EC%B9%B4%ED%83%80%EB%A5%B4%20%EC%9B%94%EB%93%9C%EC%BB%B5.jpg,wikidata,
A,South Korea,19,MF,Lee Kang-in,韩国19号中场,25,,47,11,Paris Saint-Germain,False,https://commons.wikimedia.org/wiki/Special:FilePath/Lee%20Kang-in%20-%202022%20%2852551771501%29%20%28cropped%29.jpg,wikidata,
A,South Korea,20,MF,Yang Hyun-jun,韩国20号中场,24,,9,0,Celtic,False,https://commons.wikimedia.org/wiki/Special:FilePath/Celtic-20240722-062%20%28cropped%29.jpg,wikidata,
A,South Korea,21,GK,Jo Hyeon-woo,韩国21号门将,34,,48,0,Ulsan HD,False,https://images.fotmob.com/image_resources/playerimages/433265.png,fotmob,https://www.fotmob.com/players/433265
A,South Korea,22,DF,Seol Young-woo,韩国22号后卫,27,,34,0,Red Star Belgrade,False,https://images.fotmob.com/image_resources/playerimages/1132818.png,fotmob,https://www.fotmob.com/players/1132818
A,South Korea,23,DF,Jens Castrop,韩国23号后卫,22,,7,0,Borussia Mönchengladbach,False,https://images.fotmob.com/image_resources/playerimages/1185902.png,fotmob,https://www.fotmob.com/players/1185902
A,South Korea,24,MF,Kim Jin-gyu,韩国24号中场,29,,22,3,Jeonbuk Hyundai Motors,False,https://images.fotmob.com/image_resources/playerimages/622980.png,fotmob,https://www.fotmob.com/players/622980
A,South Korea,25,MF,Eom Ji-sung,韩国25号中场,24,,9,2,Swansea City,False,https://commons.wikimedia.org/wiki/Special:FilePath/230917%20FC%20%EC%84%9C%EC%9A%B8%20vs%20%EA%B4%91%EC%A3%BC%20FC%20%28%EC%97%84%EC%A7%80%EC%84%B1%29.jpg,wikidata,
A,South Korea,26,MF,Lee Dong-gyeong,韩国26号中场,28,,18,4,Ulsan HD,False,https://images.fotmob.com/image_resources/playerimages/954131.png,fotmob,https://www.fotmob.com/players/954131
A,Czechia,1,GK,Matěj Kovář,捷克1号门将,26,,19,0,PSV Eindhoven,False,https://images.fotmob.com/image_resources/playerimages/1077903.png,fotmob,https://www.fotmob.com/players/1077903
A,Czechia,2,DF,David Zima,捷克2号后卫,25,,24,1,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/1085401.png,fotmob,https://www.fotmob.com/players/1085401
A,Czechia,3,DF,Tomáš Holeš,捷克3号后卫,33,,40,2,Slavia Prague,False,https://images.fotmob.com/image_resources/playerimages/306168.png,fotmob,https://www.fotmob.com/players/306168
