group,country,number,position,name,name_zh,age,date_of_birth,caps,goals,club,captain,image,image_source,profile
D,United States,11,FW,Brenden Aaronson,美国11号前锋,25,,57,9,Leeds United,False,https://images.fotmob.com/image_resources/playerimages/952322.png,fotmob,https://www.fotmob.com/players/952322
D,United States,12,DF,Miles Robinson,美国12号后卫,29,,39,3,FC Cincinnati,False,https://images.fotmob.com/image_resources/playerimages/825623.png,fotmob,https://www.fotmob.com/players/825623
D,United States,13,DF,Tim Ream,美国13号后卫,38,,81,1,Charlotte FC,True,https://images.fotmob.com/image_resources/playerimages/198444.png,fotmob,https://www.fotmob.com/players/198444
D,United States,14,MF,Sebastian Berhalter,美国14号中场,25,,12,1,Vancouver Whitecaps FC,False,https://images.fotmob.com/image_resources/playerimages/1136096.png,fotmob,https://www.fotmob.com/players/1136096
D,United States,15,MF,Cristian Roldan,美国15号中场,31,,46,0,Seattle Sounders FC,False,https://images.fotmob.com/image_resources/playerimages/621946.png,fotmob,https://www.fotmob.com/players/621946
D,United States,16,DF,Alex Freeman,美国16号后卫,21,,16,2,Villarreal,False,https://images.fotmob.com/image_resources/playerimages/1338696.png,fotmob,https://www.fotmob.com/players/1338696
D,United States,17,MF,Malik Tillman,美国17号中场,24,,29,3,Bayer Leverkusen,False,https://images.fotmob.com/image_resources/playerimages/1126058.png,fotmob,https://www.fotmob.com/players/1126058
D,United States,18,DF,Maximilian Arfsten,美国18号后卫,25,,19,1,Columbus Crew,False,https://commons.wikimedia.org/wiki/Special:FilePath/Max%20Arfsten%20NYCFC%20v%20Columbus%2010%20May%202026-63.jpg,wikidata,
D,United States,19,FW,Haji Wright,美国19号前锋,28,,20,7,Coventry City,False,https://images.fotmob.com/image_resources/playerimages/848268.png,fotmob,https://www.fotmob.com/players/848268
D,United States,20,FW,Folarin Balogun,美国20号前锋,24,,26,9,Monaco,False,https://images.fotmob.com/image_resources/playerimages/982677.png,fotmob,https://www.fotmob.com/players/982677
D,United States,21,FW,Timothy Weah,美国21号前锋,26,,50,7,Marseille,False,https://images.fotmob.com/image_resources/playerimages/889536.png,fotmob,https://www.fotmob.com/players/889536
D,United States,22,DF,Mark McKenzie,美国22号后卫,27,,28,0,Toulouse,False,https://images.fotmob.com/image_resources/playerimages/924485.png,fotmob,https://www.fotmob.com/players/924485
D,United States,23,DF,Joe Scally,美国23号后卫,23,,25,0,Borussia Mönchengladbach,False,https://commons.wikimedia.org/wiki/Special:FilePath/Joe%20Scally%20USMNT%20v%20Belgium%20Mar%2028%202026-51%20%28cropped%29.jpg,wikidata,
D,United States,24,GK,Matt Freese,美国24号门将,27,,14,0,New York City FC,False,https://images.fotmob.com/image_resources/playerimages/1026065.png,fotmob,https://www.fotmob.com/players/1026065
D,United States,25,GK,Chris Brady,美国25号门将,22,,1,0,Chicago Fire FC,False,https://images.fotmob.com/image_resources/playerimages/1245998.png,fotmob,https://www.fotmob.com/players/1245998
D,United States,26,FW,Alejandro Zendejas,美国26号前锋,28,,14,2,América,False,https://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Zendejas.png,wikidata,
D,Paraguay,1,GK,Gatito Fernández,巴拉圭1号门将,38,,30,0,Cerro Porteño,False,https://commons.wikimedia.org/wiki/Special:FilePath/Gatito%20Fern%C3%A1ndez%20%28Cerro%20Porte%C3%B1o%29.png,wikidata,
D,Paraguay,2,DF,Gustavo Velázquez,巴拉圭2号后卫,35,,12,1,Cerro Porteño,False,https://images.fotmob.com/image_resources/playerimages/497352.png,fotmob,https://www.fotmob.com/players/497352
D,Paraguay,3,DF,Omar Alderete,巴拉圭3号后卫,29,,35,3,Sunderland,False,https://images.fotmob.com/image_resources/playerimages/751998.png,fotmob,https://www.fotmob.com/players/751998
D,Paraguay,4,DF,Juan José Cáceres,巴拉圭4号后卫,26,,16,0,Dynamo Moscow,False,,,
D,Paraguay,5,DF,Fabián Balbuena,巴拉圭5号后卫,34,,47,2,Grêmio,False,https://images.fotmob.com/image_resources/playerimages/307438.png,fotmob,https://www.fotmob.com/players/307438
D,Paraguay,6,DF,Júnior Alonso,巴拉圭6号后卫,33,,70,3,Atlético Mineiro,False,https://images.fotmob.com/image_resources/playerimages/466214.png,fotmob,https://www.fotmob.com/players/466214
D,Paraguay,7,MF,Ramón Sosa,巴拉圭7号中场,26,,28,1,Palmeiras,False,https://images.fotmob.com/image_resources/playerimages/1132960.png,fotmob,https://www.fotmob.com/players/1132960
D,Paraguay,8,MF,Diego Gómez,巴拉圭8号中场,23,,23,3,Brighton & Hove Albion,False,https://images.fotmob.com/image_resources/playerimages/1354561.png,fotmob,https://www.fotmob.com/players/1354561
D,Paraguay,9,FW,Antonio Sanabria,巴拉圭9号前锋,30,,47,7,Cremonese,False,https://images.fotmob.com/image_resources/playerimages/474448.png,fotmob,https://www.fotmob.com/players/474448
D,Paraguay,10,MF,Miguel Almirón,巴拉圭10号中场,32,,75,9,Atlanta United FC,False,https://images.fotmob.com/image_resources/playerimages/442277.png,fotmob,https://www.fotmob.com/players/442277
D,Paraguay,11,MF,Maurício,巴拉圭11号中场,24,,2,0,Palmeiras,False,https://commons.wikimedia.org/wiki/Special:FilePath/Mauricio-palmeiras-sport-ago-25%20%28cropped%29.jpg,wikidata,
D,Paraguay,12,GK,Orlando Gill,巴拉圭12号门将,26,,5,0,San Lorenzo,False,https://images.fotmob.com/image_resources/playerimages/1683391.png,fotmob,https://www.fotmob.com/players/1683391
D,Paraguay,13,DF,José Canale,巴拉圭13号后卫,29,,1,0,Lanús,False,https://images.fotmob.com/image_resources/playerimages/860890.png,fotmob,https://www.fotmob.com/players/860890
D,Paraguay,14,MF,Andrés Cubas,巴拉圭14号中场,30,,32,0,Vancouver Whitecaps FC,False,https://images.fotmob.com/image_resources/playerimages/529625.png,fotmob,https://www.fotmob.com/players/529625
D,Paraguay,15,DF,Gustavo Gómez,巴拉圭15号后卫,33,,88,4,Palmeiras,True,https://images.fotmob.com/image_resources/playerimages/274392.png,fotmob,https://www.fotmob.com/players/274392
D,Paraguay,16,MF,Damián Bobadilla,巴拉圭16号中场,24,,19,1,São Paulo,False,https://images.fotmob.com/image_resources/playerimages/1252913.png,fotmob,https://www.fotmob.com/players/1252913
D,Paraguay,17,FW,Kaku,巴拉圭17号前锋,31,,32,5,Al Ain,False,https://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Romero%2020180612%20%28cropped%29.jpg,wikidata,
D,Paraguay,18,FW,Álex Arce,巴拉圭18号前锋,30,,14,1,Independiente Rivadavia,False,https://images.fotmob.com/image_resources/playerimages/1320444.png,fotmob,https://www.fotmob.com/players/1320444
D,Paraguay,19,FW,Julio Enciso,巴拉圭19号前锋,22,,31,4,Strasbourg,False,https://images.fotmob.com/image_resources/playerimages/1073742.png,fotmob,https://www.fotmob.com/players/1073742
D,Paraguay,20,MF,Braian Ojeda,巴拉圭20号中场,25,,16,0,Orlando City SC,False,https://images.fotmob.com/image_resources/playerimages/1075065.png,fotmob,https://www.fotmob.com/players/1075065
D,Paraguay,21,FW,Gabriel Ávalos,巴拉圭21号前锋,35,,22,2,Independiente,False,https://images.fotmob.com/image_resources/playerimages/425711.png,fotmob,https://www.fotmob.com/players/425711
D,Paraguay,22,GK,Gastón Olveira,巴拉圭22号门将,33,,1,0,Olimpia,False,https://images.fotmob.com/image_resources/playerimages/495193.png,fotmob,https://www.fotmob.com/players/495193
D,Paraguay,23,MF,Matías Galarza,巴拉圭23号中场,24,,14,2,Atlanta United FC,False,https://images.fotmob.com/image_resources/playerimages/1241957.png,fotmob,https://www.fotmob.com/players/1241957
D,Paraguay,24,MF,Gustavo Caballero,巴拉圭24号中场,24,,2,1,Portsmouth,False,https://images.fotmob.com/image_resources/playerimages/1347933.png,fotmob,https://www.fotmob.com/players/1347933
D,Paraguay,25,FW,Isidro Pitta,巴拉圭25号前锋,26,,5,0,Red Bull Bragantino,False,https://images.fotmob.com/image_resources/playerimages/1033279.png,fotmob,https://www.fotmob.com/players/1033279
D,Paraguay,26,DF,Alexandro Maidana,巴拉圭26号后卫,20,,1,0,Talleres,False,https://images.fotmob.com/image_resources/playerimages/1736527.png,fotmob,https://www.fotmob.com/players/1736527
D,Australia,1,GK,Mathew Ryan,马修·瑞安,34,,104,0,Levante,True,https://images.fotmob.com/image_resources/playerimages/185644.png,fotmob,https://www.fotmob.com/players/185644
D,Australia,2,DF,Miloš Degenek,米洛什·德格内克,32,,56,1,APOEL,False,https://images.fotmob.com/image_resources/playerimages/416124.png,fotmob,https://www.fotmob.com/players/416124
D,Australia,3,DF,Alessandro Circati,澳大利亚3号后卫,22,,12,1,Parma,False,https://images.fotmob.com/image_resources/playerimages/1318686.png,fotmob,https://www.fotmob.com/players/1318686
D,Australia,4,DF,Jacob Italiano,澳大利亚4号后卫,24,,4,0,GAK,False,https://images.fotmob.com/image_resources/playerimages/889093.png,fotmob,https://www.fotmob.com/players/889093
D,Australia,5,DF,Jordan Bos,澳大利亚5号后卫,23,,26,4,Feyenoord,False,https://images.fotmob.com/image_resources/playerimages/1316930.png,fotmob,https://www.fotmob.com/players/1316930
D,Australia,6,DF,Jason Geria,澳大利亚6号后卫,33,,13,0,Albirex Niigata,False,https://images.fotmob.com/image_resources/playerimages/418799.png,fotmob,https://www.fotmob.com/players/418799
D,Australia,7,FW,Mathew Leckie,澳大利亚7号前锋,35,,79,14,Melbourne City,False,https://images.fotmob.com/image_resources/playerimages/185014.png,fotmob,https://www.fotmob.com/players/185014
D,Australia,8,MF,Connor Metcalfe,澳大利亚8号中场,26,,35,1,FC St. Pauli,False,https://images.fotmob.com/image_resources/playerimages/885870.png,fotmob,https://www.fotmob.com/players/885870
D,Australia,9,FW,Mohamed Touré,澳大利亚9号前锋,22,,9,2,Norwich City,False,https://images.fotmob.com/image_resources/playerimages/1132069.png,fotmob,https://www.fotmob.com/players/1132069
D,Australia,10,FW,Ajdin Hrustic,澳大利亚10号前锋,29,,37,4,Heracles Almelo,False,https://images.fotmob.com/image_resources/playerimages/675762.png,fotmob,https://www.fotmob.com/players/675762
D,Australia,11,FW,Awer Mabil,澳大利亚11号前锋,30,,38,10,Castellón,False,https://images.fotmob.com/image_resources/playerimages/421328.png,fotmob,https://www.fotmob.com/players/421328
D,Australia,12,GK,Paul Izzo,澳大利亚12号门将,31,,4,0,Randers,False,https://images.fotmob.com/image_resources/playerimages/302176.png,fotmob,https://www.fotmob.com/players/302176
D,Australia,13,MF,Aiden O'Neill,澳大利亚13号中场,27,,30,0,New York City FC,False,https://images.fotmob.com/image_resources/playerimages/785377.png,fotmob,https://www.fotmob.com/players/785377
D,Australia,14,MF,Cammy Devlin,澳大利亚14号中场,28,,4,0,Heart of Midlothian,False,https://commons.wikimedia.org/wiki/Special:FilePath/Cameron%20Devlin%202021.png,wikidata,
D,Australia,15,DF,Kai Trewin,澳大利亚15号后卫,25,,5,0,New York City FC,False,https://images.fotmob.com/image_resources/playerimages/1101030.png,fotmob,https://www.fotmob.com/players/1101030
D,Australia,16,DF,Aziz Behich,澳大利亚16号后卫,35,,83,3,Melbourne City,False,https://images.fotmob.com/image_resources/playerimages/192735.png,fotmob,https://www.fotmob.com/players/192735
D,Australia,17,FW,Nestory Irankunda,澳大利亚17号前锋,20,,14,5,Watford,False,https://images.fotmob.com/image_resources/playerimages/1327214.png,fotmob,https://www.fotmob.com/players/1327214
D,Australia,18,GK,Patrick Beach,澳大利亚18号门将,22,,1,0,Melbourne City,False,https://images.fotmob.com/image_resources/playerimages/1335765.png,fotmob,https://www.fotmob.com/players/1335765
D,Australia,19,DF,Harry Souttar,澳大利亚19号后卫,27,,37,11,Leicester City,False,https://images.fotmob.com/image_resources/playerimages/671518.png,fotmob,https://www.fotmob.com/players/671518
D,Australia,20,FW,Cristian Volpato,澳大利亚20号前锋,22,,0,0,Sassuolo,False,https://images.fotmob.com/image_resources/playerimages/1308909.png,fotmob,https://www.fotmob.com/players/1308909
D,Australia,21,DF,Cameron Burgess,澳大利亚21号后卫,30,,26,0,Swansea City,False,https://images.fotmob.com/image_resources/playerimages/564842.png,fotmob,https://www.fotmob.com/players/564842
D,Australia,22,MF,Jackson Irvine,杰克逊·欧文,33,,81,14,FC St. Pauli,False,https://images.fotmob.com/image_resources/playerimages/369742.png,fotmob,https://www.fotmob.com/players/369742
D,Australia,23,FW,Nishan Velupillay,澳大利亚23号前锋,25,,7,3,Melbourne Victory,False,https://images.fotmob.com/image_resources/playerimages/1250885.png,fotmob,https://www.fotmob.com/players/1250885
D,Australia,24,MF,Paul Okon-Engstler,澳大利亚24号中场,21,,5,0,Sydney FC,False,https://images.fotmob.com/image_resources/playerimages/1527363.png,fotmob,https://www.fotmob.com/players/1527363
D,Australia,25,DF,Lucas Herrington,澳大利亚25号后卫,18,,3,0,Colorado Rapids,False,https://images.fotmob.com/image_resources/playerimages/1686118.png,fotmob,https://www.fotmob.com/players/1686118
D,Australia,26,FW,Tete Yengi,澳大利亚26号前锋,25,,0,0,Machida Zelvia,False,https://images.fotmob.com/image_resources/playerimages/1220549.png,fotmob,https://www.fotmob.com/players/1220549
D,Turkey,1,GK,Mert Günok,土耳其1号门将,37,,37,0,Fenerbahçe,False,https://images.fotmob.com/image_resources/playerimages/150372.png,fotmob,https://www.fotmob.com/players/150372
D,Turkey,2,DF,Zeki Çelik,土耳其2号后卫,29,,60,3,Roma,False,https://images.fotmob.com/image_resources/playerimages/867225.png,fotmob,https://www.fotmob.com/players/867225
D,Turkey,3,DF,Merih Demiral,土耳其3号后卫,28,,61,6,Al-Ahli,False,https://images.fotmob.com/image_resources/playerimages/823078.png,fotmob,https://www.fotmob.com/players/823078
D,Turkey,4,DF,Çağlar Söyüncü,土耳其4号后卫,30,,60,2,Fenerbahçe,False,https://images.fotmob.com/image_resources/playerimages/602261.png,fotmob,https://www.fotmob.com/players/602261
D,Turkey,5,MF,Salih Özcan,土耳其5号中场,28,,29,1,Borussia Dortmund,False,https://images.fotmob.com/image_resources/playerimages/738064.png,fotmob,https://www.fotmob.com/players/738064
D,Turkey,6,MF,Orkun Kökçü,土耳其6号中场,25,,49,4,Beşiktaş,False,https://images.fotmob.com/image_resources/playerimages/935409.png,fotmob,https://www.fotmob.com/players/935409
D,Turkey,7,FW,Kerem Aktürkoğlu,土耳其7号前锋,27,,51,15,Fenerbahçe,False,https://images.fotmob.com/image_resources/playerimages/1117570.png,fotmob,https://www.fotmob.com/players/1117570
D,Turkey,8,FW,Arda Güler,土耳其8号前锋,21,,28,6,Real Madrid,False,https://images.fotmob.com/image_resources/playerimages/1253890.png,fotmob,https://www.fotmob.com/players/1253890
D,Turkey,9,FW,Deniz Gül,土耳其9号前锋,21,,7,2,Porto,False,https://images.fotmob.com/image_resources/playerimages/1406300.png,fotmob,https://www.fotmob.com/players/1406300
D,Turkey,10,MF,Hakan Çalhanoğlu,土耳其10号中场,32,,104,22,Inter Milan,True,https://images.fotmob.com/image_resources/playerimages/304733.png,fotmob,https://www.fotmob.com/players/304733
D,Turkey,11,FW,Kenan Yıldız,土耳其11号前锋,21,,28,5,Juventus,False,https://commons.wikimedia.org/wiki/Special:FilePath/Kenan%20Y%C4%B1ld%C4%B1z%20in%20the%20international%20match%20%28March%202025%29%20%28cropped%29.jpg,wikidata,
D,Turkey,12,GK,Altay Bayındır,土耳其12号门将,28,,12,0,Manchester United,False,https://commons.wikimedia.org/wiki/Special:FilePath/Altay%20Bay%C4%B1nd%C4%B1r%20%282021-22%20S%C3%BCper%20Lig%29%20-%20Resim1.png,wikidata,
D,Turkey,13,DF,Eren Elmalı,土耳其13号后卫,25,,22,0,Galatasaray,False,https://images.fotmob.com/image_resources/playerimages/1041660.png,fotmob,https://www.fotmob.com/players/1041660
D,Turkey,14,DF,Abdülkerim Bardakcı,土耳其14号后卫,31,,26,2,Galatasaray,False,https://images.fotmob.com/image_resources/playerimages/291399.png,fotmob,https://www.fotmob.com/players/291399
D,Turkey,15,DF,Ozan Kabak,土耳其15号后卫,26,,29,2,TSG Hoffenheim,False,https://images.fotmob.com/image_resources/playerimages/845990.png,fotmob,https://www.fotmob.com/players/845990
D,Turkey,16,MF,İsmail Yüksek,土耳其16号中场,27,,31,1,Fenerbahçe,False,https://images.fotmob.com/image_resources/playerimages/1183589.png,fotmob,https://www.fotmob.com/players/1183589
D,Turkey,17,FW,İrfan Can Kahveci,土耳其17号前锋,30,,46,6,Kasımpaşa,False,https://commons.wikimedia.org/wiki/Special:FilePath/%C4%B0rfan%20Can%20Kahveci%20%282021-22%20S%C3%BCper%20Lig%29%20-%20Resim2.png,wikidata,
D,Turkey,18,DF,Mert Müldür,土耳其18号后卫,27,,44,3,Fenerbahçe,False,https://images.fotmob.com/image_resources/playerimages/904098.png,fotmob,https://www.fotmob.com/players/904098
D,Turkey,19,FW,Yunus Akgün,土耳其19号前锋,25,,18,3,Galatasaray,False,https://images.fotmob.com/image_resources/playerimages/845991.png,fotmob,https://www.fotmob.com/players/845991
D,Turkey,20,DF,Ferdi Kadıoğlu,土耳其20号后卫,26,,30,2,Brighton & Hove Albion,False,https://commons.wikimedia.org/wiki/Special:FilePath/Ferdi%20Kad%C4%B1o%C4%9Flu%202024.jpg,wikidata,
D,Turkey,21,FW,Barış Alper Yılmaz,土耳其21号前锋,26,,34,3,Galatasaray,False,https://commons.wikimedia.org/wiki/Special:FilePath/Bar%C4%B1%C5%9F%20Alper%20Y%C4%B1lmaz.jpg,wikidata,
D,Turkey,22,MF,Kaan Ayhan,土耳其22号中场,31,,73,5,Galatasaray,False,https://images.fotmob.com/image_resources/playerimages/441164.png,fotmob,https://www.fotmob.com/players/441164
D,Turkey,23,GK,Uğurcan Çakır,土耳其23号门将,30,,38,0,Galatasaray,False,https://commons.wikimedia.org/wiki/Special:FilePath/U%C4%9Furcan%20%C3%87ak%C4%B1r%20at%20Antalyaspor%20vs%20Trabzonspor%2020211211%20%282%29%20%28cropped%29.jpg,wikidata,
D,Turkey,24,FW,Oğuz Aydın,土耳其24号前锋,25,,10,0,Fenerbahçe,False,https://images.fotmob.com/image_resources/playerimages/1092015.png,fotmob,https://www.fotmob.com/players/1092015
D,Turkey,25,DF,Samet Akaydin,土耳其25号后卫,32,,19,1,Çaykur Rizespor,False,https://images.fotmob.com/image_resources/playerimages/424380.png,fotmob,https://www.fotmob.com/players/424380
D,Turkey,26,FW,Can Uzun,土耳其26号前锋,20,,5,1,Eintracht Frankfurt,False,https://images.fotmob.com/image_resources/playerimages/1367924.png,fotmob,https://www.fotmob.com/players/1367924
E,Germany,1,GK,Manuel Neuer,曼努埃尔·诺伊尔,40,,124,0,Bayern Munich,False,https://images.fotmob.com/image_resources/playerimages/27299.png,fotmob,https://www.fotmob.com/players/27299
E,Germany,2,DF,Antonio Rüdiger,安东尼奥·吕迪格,33,,82,3,Real Madrid,False,https://images.fotmob.com/image_resources/playerimages/276738.png,fotmob,https://www.fotmob.com/players/276738
E,Germany,3,DF,Waldemar Anton,德国3号后卫,29,,12,0,Borussia Dortmund,False,https://images.fotmob.com/image_resources/playerimages/664970.png,fotmob,https://www.fotmob.com/players/664970
E,Germany,4,DF,Jonathan Tah,德国4号后卫,30,,46,1,Bayern Munich,False,https://images.fotmob.com/image_resources/playerimages/469700.png,fotmob,https://www.fotmob.com/players/469700
E,Germany,5,MF,Aleksandar Pavlović,德国5号中场,22,,10,1,Bayern Munich,False,https://images.fotmob.com/image_resources/playerimages/1473580.png,fotmob,https://www.fotmob.com/players/1473580
E,Germany,6,DF,Joshua Kimmich,德国6号后卫,31,,109,10,Bayern Munich,True,https://images.fotmob.com/image_resources/playerimages/460632.png,fotmob,https://www.fotmob.com/players/460632
E,Germany,7,FW,Kai Havertz,凯·哈弗茨,27,,57,21,Arsenal,False,https://images.fotmob.com/image_resources/playerimages/749736.png,fotmob,https://www.fotmob.com/players/749736
E,Germany,8,MF,Leon Goretzka,德国8号中场,31,,69,15,Bayern Munich,False,https://images.fotmob.com/image_resources/playerimages/343748.png,fotmob,https://www.fotmob.com/players/343748
E,Germany,9,MF,Jamie Leweling,德国9号中场,25,,4,1,VfB Stuttgart,False,https://images.fotmob.com/image_resources/playerimages/1074968.png,fotmob,https://www.fotmob.com/players/1074968
E,Germany,10,MF,Jamal Musiala,贾马尔·穆西亚拉,23,,41,9,Bayern Munich,False,https://images.fotmob.com/image_resources/playerimages/1156141.png,fotmob,https://www.fotmob.com/players/1156141
E,Germany,11,FW,Nick Woltemade,德国11号前锋,24,,11,4,Newcastle United,False,https://images.fotmob.com/image_resources/playerimages/1106563.png,fotmob,https://www.fotmob.com/players/1106563
E,Germany,12,GK,Oliver Baumann,德国12号门将,36,,12,0,TSG Hoffenheim,False,https://images.fotmob.com/image_resources/playerimages/178778.png,fotmob,https://www.fotmob.com/players/178778
E,Germany,13,MF,Pascal Groß,德国13号中场,34,,18,1,Brighton & Hove Albion,False,https://images.fotmob.com/image_resources/playerimages/167008.png,fotmob,https://www.fotmob.com/players/167008
E,Germany,14,FW,Maximilian Beier,德国14号前锋,23,,8,0,Borussia Dortmund,False,https://images.fotmob.com/image_resources/playerimages/1047667.png,fotmob,https://www.fotmob.com/players/1047667
E,Germany,15,DF,Nico Schlotterbeck,德国15号后卫,26,,26,0,Borussia Dortmund,False,https://images.fotmob.com/image_resources/playerimages/1002058.png,fotmob,https://www.fotmob.com/players/1002058
E,Germany,16,MF,Angelo Stiller,德国16号中场,25,,7,0,VfB Stuttgart,False,https://images.fotmob.com/image_resources/playerimages/1071186.png,fotmob,https://www.fotmob.com/players/1071186
E,Germany,17,MF,Florian Wirtz,弗洛里安·维尔茨,23,,40,11,Liverpool,False,https://images.fotmob.com/image_resources/playerimages/1152455.png,fotmob,https://www.fotmob.com/players/1152455
E,Germany,18,DF,Nathaniel Brown,德国18号后卫,22,,4,0,Eintracht Frankfurt,False,https://images.fotmob.com/image_resources/playerimages/1395447.png,fotmob,https://www.fotmob.com/players/1395447
E,Germany,19,MF,Leroy Sané,勒鲁瓦·萨内,30,,75,16,Galatasaray,False,https://images.fotmob.com/image_resources/playerimages/530859.png,fotmob,https://www.fotmob.com/players/530859
E,Germany,20,MF,Nadiem Amiri,德国20号中场,29,,10,1,Mainz 05,False,https://images.fotmob.com/image_resources/playerimages/614449.png,fotmob,https://www.fotmob.com/players/614449
E,Germany,21,GK,Alexander Nübel,德国21号门将,29,,3,0,VfB Stuttgart,False,https://images.fotmob.com/image_resources/playerimages/554534.png,fotmob,https://www.fotmob.com/players/554534
E,Germany,22,DF,David Raum,德国22号后卫,28,,36,1,RB Leipzig,False,https://images.fotmob.com/image_resources/playerimages/806669.png,fotmob,https://www.fotmob.com/players/806669
E,Germany,23,MF,Felix Nmecha,德国23号中场,25,,7,1,Borussia Dortmund,False,https://images.fotmob.com/image_resources/playerimages/966019.png,fotmob,https://www.fotmob.com/players/966019
E,Germany,24,DF,Malick Thiaw,德国24号后卫,24,,5,0,Newcastle United,False,https://images.fotmob.com/image_resources/playerimages/1137407.png,fotmob,https://www.fotmob.com/players/1137407
E,Germany,25,MF,Lennart Karl,德国25号中场,18,,3,0,Bayern Munich,False,https://images.fotmob.com/image_resources/playerimages/1737700.png,fotmob,https://www.fotmob.com/players/1737700
E,Germany,26,FW,Deniz Undav,德国26号前锋,29,,8,6,VfB Stuttgart,False,https://images.fotmob.com/image_resources/playerimages/661519.png,fotmob,https://www.fotmob.com/players/661519
E,Curaçao,1,GK,Eloy Room,库拉索1号门将,37,,71,0,Miami FC,False,https://images.fotmob.com/image_resources/playerimages/150242.png,fotmob,https://www.fotmob.com/players/150242
E,Curaçao,2,DF,Shurandy Sambo,库拉索2号后卫,24,,7,0,Sparta Rotterdam,False,https://images.fotmob.com/image_resources/playerimages/1125997.png,fotmob,https://www.fotmob.com/players/1125997
E,Curaçao,3,DF,Juriën Gaari,库拉索3号后卫,32,,59,1,Abha,False,https://images.fotmob.com/image_resources/playerimages/708738.png,fotmob,https://www.fotmob.com/players/708738
E,Curaçao,4,DF,Roshon van Eijma,库拉索4号后卫,28,,27,1,RKC Waalwijk,False,https://images.fotmob.com/image_resources/playerimages/924844.png,fotmob,https://www.fotmob.com/players/924844
E,Curaçao,5,DF,Sherel Floranus,库拉索5号后卫,27,,27,0,PEC Zwolle,False,https://images.fotmob.com/image_resources/playerimages/671327.png,fotmob,https://www.fotmob.com/players/671327
E,Curaçao,6,MF,Godfried Roemeratoe,库拉索6号中场,26,,27,1,RKC Waalwijk,False,https://images.fotmob.com/image_resources/playerimages/938524.png,fotmob,https://www.fotmob.com/players/938524
E,Curaçao,7,MF,Juninho Bacuna,库拉索7号中场,28,,48,14,Volendam,False,https://images.fotmob.com/image_resources/playerimages/614574.png,fotmob,https://www.fotmob.com/players/614574
E,Curaçao,8,MF,Livano Comenencia,库拉索8号中场,22,,19,1,Zürich,False,https://images.fotmob.com/image_resources/playerimages/1243246.png,fotmob,https://www.fotmob.com/players/1243246
E,Curaçao,9,FW,Jürgen Locadia,库拉索9号前锋,32,,13,1,Miami FC,False,https://images.fotmob.com/image_resources/playerimages/289441.png,fotmob,https://www.fotmob.com/players/289441
E,Curaçao,10,MF,Leandro Bacuna,库拉索10号中场,34,,71,16,Iğdır,True,https://images.fotmob.com/image_resources/playerimages/183500.png,fotmob,https://www.fotmob.com/players/183500
E,Curaçao,11,FW,Jeremy Antonisse,库拉索11号前锋,24,,26,3,Kifisia,False,https://images.fotmob.com/image_resources/playerimages/1210947.png,fotmob,https://www.fotmob.com/players/1210947
E,Curaçao,12,FW,Sontje Hansen,库拉索12号前锋,24,,5,1,Middlesbrough,False,https://images.fotmob.com/image_resources/playerimages/1050160.png,fotmob,https://www.fotmob.com/players/1050160
E,Curaçao,13,FW,Tyrese Noslin,库拉索13号前锋,23,,6,1,Telstar,False,https://images.fotmob.com/image_resources/playerimages/1439121.png,fotmob,https://www.fotmob.com/players/1439121
E,Curaçao,14,FW,Kenji Gorré,库拉索14号前锋,31,,37,6,Maccabi Haifa,False,https://images.fotmob.com/image_resources/playerimages/643232.png,fotmob,https://www.fotmob.com/players/643232
E,Curaçao,15,MF,Ar'jany Martha,库拉索15号中场,22,,8,2,Rotherham United,False,,,
E,Curaçao,16,FW,Jearl Margaritha,库拉索16号前锋,26,,21,5,Beveren,False,https://images.fotmob.com/image_resources/playerimages/1180784.png,fotmob,https://www.fotmob.com/players/1180784
E,Curaçao,17,FW,Brandley Kuwas,库拉索17号前锋,33,,34,2,Volendam,False,https://images.fotmob.com/image_resources/playerimages/352358.png,fotmob,https://www.fotmob.com/players/352358
E,Curaçao,18,DF,Armando Obispo,库拉索18号后卫,27,,5,0,PSV Eindhoven,False,https://images.fotmob.com/image_resources/playerimages/794244.png,fotmob,https://www.fotmob.com/players/794244
E,Curaçao,19,FW,Gervane Kastaneer,库拉索19号前锋,30,,28,9,Terengganu,False,https://images.fotmob.com/image_resources/playerimages/380942.png,fotmob,https://www.fotmob.com/players/380942
E,Curaçao,20,DF,Joshua Brenet,库拉索20号后卫,32,,17,1,Kayserispor,False,https://images.fotmob.com/image_resources/playerimages/389845.png,fotmob,https://www.fotmob.com/players/389845
E,Curaçao,21,MF,Tahith Chong,库拉索21号中场,26,,5,3,Sheffield United,False,https://images.fotmob.com/image_resources/playerimages/751066.png,fotmob,https://www.fotmob.com/players/751066
E,Curaçao,22,MF,Kevin Felida,库拉索22号中场,26,,19,1,Den Bosch,False,https://images.fotmob.com/image_resources/playerimages/875845.png,fotmob,https://www.fotmob.com/players/875845
E,Curaçao,23,DF,Riechedly Bazoer,库拉索23号后卫,29,,4,0,Konyaspor,False,https://images.fotmob.com/image_resources/playerimages/467479.png,fotmob,https://www.fotmob.com/players/467479
